snapshot_date,snapshot_month,updated_at,brand,inventoryGroup,sourceStore,locationName,locationId,productId,variantId,inventoryItemId,sku,variantTitle,price,shopifyUnitCost,productName,productType,vendor,productStatus,productTags,quantity,shopifySalesByMonth
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/9811437158630,gid://shopify/ProductVariant/48152283021542,gid://shopify/InventoryItem/50244228874470,63-GG830-BL,Default Title,25.0,8.75,Lila Vintage Snaffle Cross-Body Accessory Bag,Left Overs,Cavali Club,active,"ALL COLLECTIVE, SUMMER BOX 2026",72,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/9806354153702,gid://shopify/ProductVariant/48117583904998,gid://shopify/InventoryItem/50209437843686,CCWT12,12oz,25.0,5.05,Cavali Club Insulated Wine Tumbler,Left Overs,Cavali Club,active,ALL COLLECTIVE,207,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/9807394078950,gid://shopify/ProductVariant/48123029356774,gid://shopify/InventoryItem/50214936379622,DCMC-BLUE,Blue,15.0,7.5,Dubois Cheval Mane Charm,Left Overs,Cavali Club,active,ALL COLLECTIVE,25,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/9807394078950,gid://shopify/ProductVariant/48123029291238,gid://shopify/InventoryItem/50214936314086,DCMC-PINK,Pink,15.0,7.5,Dubois Cheval Mane Charm,Left Overs,Cavali Club,active,ALL COLLECTIVE,20,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/9807394078950,gid://shopify/ProductVariant/48123029324006,gid://shopify/InventoryItem/50214936346854,DCMC-PURPLE,Purple,15.0,7.5,Dubois Cheval Mane Charm,Left Overs,Cavali Club,active,ALL COLLECTIVE,14,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/9807394078950,gid://shopify/ProductVariant/48123029389542,gid://shopify/InventoryItem/50214936412390,DCMC-RED,Red,15.0,7.5,Dubois Cheval Mane Charm,Left Overs,Cavali Club,active,ALL COLLECTIVE,11,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/7220643102894,gid://shopify/ProductVariant/40693705113774,gid://shopify/InventoryItem/42789101699246,FALL302,Default Title,9.99,2.5,"""Foxy"" by Mare Modern Goods - Stationery Set",Left Overs,Mare Modern Goods,active,"ALL COLLECTIVE, fall, Fall Box 2021, home",50,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/7941206769894,gid://shopify/ProductVariant/43270309150950,gid://shopify/InventoryItem/45356499632358,FALL402,Default Title,99.99,16.2,Yagya Carry On Belt Bag,Left Overs,Cavali Club,active,ALL COLLECTIVE,1087,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/8294301171942,gid://shopify/ProductVariant/43922730778854,gid://shopify/InventoryItem/46002047058150,FALL509,Default Title,10.0,4.5,Junior Mare Goods Bracelet,Left Overs,Cavali Club,active,ALL COLLECTIVE,25,{}
2026-08-21,2026-08,2026-08-21T11:19:44.614129+00:00,Cavali,Collective,Cavali Shopify,Cavali Club HQ,gid://shopify/Location/76801245414,gid://shopify/Product/8842771497190,gid://shopify/ProductVariant/45366278160614,gid://shopify/InventoryItem/47446345711846,FALL601,Default Title,14.99,2.7,Leather Necklace,Left Overs,Cavali Club,active,"ALL COLLECTIVE, Fall Box 2024",178,{}
