quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
3,ALL INVENTORY,1787926575498,040102223302,Eliot's Trailer,1,Andis AGC Super 2-Speed Clipper with T-84 Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",23330,Title: Default Title,,,,,Corro Trailer 1,144.31,144.31,144.31,209.99,0,0,,,
2,ALL INVENTORY,1787926575498,823313023258,Eliot's Trailer,1,Lucky Braids All-in-One Horse Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",2325,Size: 1 Quart,,,,,Corro Trailer 1,20.00,20.00,20.00,30.99,0,0,0.050632913,,
2,ALL INVENTORY,1787926575498,,Eliot's Trailer,1,Finish Line Apple-A-Day Electrolytes,Horse Care > Supplements > Electrolytes & Salt,2030,Size: 30 Pounds,,,,,Corro Trailer 1,49.38,49.38,49.38,70.95,0,0,0.11940298,,
4,ALL INVENTORY,1787926575498,715401020051,Eliot's Trailer,1,Finish Line Apple-A-Day Electrolytes,Horse Care > Supplements > Electrolytes & Salt,2005,Size: 5 Pounds,,,,,Corro Trailer 1,11.93,11.93,11.93,16.49,0,0,0.08955224,,
12,ALL INVENTORY,1787926575498,5021544000887,Eliot's Trailer,1,Carr & Day & Martin Belvoir Glycerin Conditioning Soap,Tack & Equipment > Leather Care,10020,Size: 250 Milligrams,,,,,Corro Trailer 1,5.45,5.45,5.45,9.99,0,0,,,
12,ALL INVENTORY,1787926575498,5425016901953,Eliot's Trailer,1,Cavalor Bianco Wash,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",82193050,Size: 500 Milliliters,,,,,Corro Trailer 1,21.09,21.09,21.09,30.99,0,0,0.028571429,,
15,ALL INVENTORY,1787926575498,086621023284,Eliot's Trailer,1,Farnam Bronco Equine Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100502328,Size: 1 Quart,,,,,Corro Trailer 1,5.45,5.45,5.45,12.99,0,0,,,
5,ALL INVENTORY,1787926575498,86621023277,Eliot's Trailer,1,Farnam Bronco Equine Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100502327,Size: 1 Gallon,,,,,Corro Trailer 1,18.38,18.38,18.38,29.97,0,0,0.125,,
3,ALL INVENTORY,1787926575498,841095052952,Eliot's Trailer,1,Centaur Fleece Cuff Bell Boots,Tack & Equipment > Boots & Wraps > Bell Boots,470790WHT SML,Size: Small,Color: White,,,,Corro Trailer 1,14.98,14.98,14.98,21.99,0,0,,,
4,ALL INVENTORY,1787926575498,841095046463,Eliot's Trailer,1,Centaur Fleece Cuff Bell Boots,Tack & Equipment > Boots & Wraps > Bell Boots,470790BLK SML,Size: Small,Color: Black,,,,Corro Trailer 1,14.98,14.98,14.98,21.99,0,0,,,
