quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
-1,,,810006840162,,,DAC Oil Fat & Fatty Acid Supplement,Horse Care > Supplements > Weight Gain & Muscle,OIL38,Size: 38 Pounds,,,,,Drop Ship,114.25,114.25,114.25,147.60,0,0,,,
-1,,,7340041172407,,,Back on Track Classic Turnout Sheet,Horse Wear > Blankets & Sheets > Turnout Blankets & Sheets > Sheets,21420040,Size: 75,,,,,Drop Ship,144.50,144.50,144.50,289.00,0,0,,,
-2,,,012891260111,,,Fortiflex 8-Quart Utility Pail,Stable > Stable Supplies > Feed & Water Buckets,N400-8-TEAL,Size: 8 Quarts,Color: Teal,,,,Drop Ship,3.99,3.99,3.99,6.99,0,0,,,
-3,,,688499490771,,,Tough-1 1200D Waterproof Poly Snuggit Turnout Blanket,Horse Wear > Blankets & Sheets > Turnout Blankets & Sheets > Medium Weight,32-21202S-4-69,Size: 69,Color: Royal Blue,,,,Drop Ship,68.88,68.88,68.88,99.99,0,0,,,
-1,,,,,,EquiFit D-Teq Front Boot with ImpacTeq Liner,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,01601FXXLB,Size: XX Large,Color: Black with Black Binding,,,,Drop Ship,162.75,162.75,162.75,314.00,0,0,,,
-1,,,865524000215,,,SynNutra SynChill Daily,Horse Care > Supplements > Calming & Focus,SCD-30-1,Size: 30 Day Supply,,,,,Drop Ship,62.65,62.65,62.65,89.99,0,0,0.02631579,,
-1,,,5391504347407,,,TRM Good as Gold + MAG,Horse Care > Supplements > Calming & Focus,323465-1.5,Size: 1.5 Kilograms,,,,,Drop Ship,83.20,83.20,83.20,129.99,0,0,,,
-1,,,892277187092,,,EquiFit Essential Dressage Girth with SmartFabric Liner,Tack & Equipment > Girths & Cinches > Dressage Girths,32964BL28,Size: 28-Inch,Color: Black,,,,Drop Ship,67.00,67.00,67.00,134.00,0,0,,,
-2,,,840539060959,,,5/A Baker Trailer Tie,Stable > Stable Supplies > Cross Ties & Trailer Ties,7038,Title: Default Title,,,,,Drop Ship,11.00,11.00,11.00,19.99,0,0,,,
-1,,,00892277186415,,,EquiFit Essential Bell Boot with Fleece Rolled Top,Tack & Equipment > Boots & Wraps > Bell Boots,11269XLBLK,Size: Extra Large,Color: Black,,,,Drop Ship,26.32,26.32,26.32,49.00,0,0,,,
-1,,,840539061215,,,5/A Baker Original Stable Sheet,Horse Wear > Blankets & Sheets > Stable Blankets & Sheets > Lightweight,7002-BAP-BAP-76-STD,Size: 76-Inch,,,,,Drop Ship,81.00,81.00,81.00,145.95,0,0,,,
-1,,,840539061376,,,5/A Baker Irish Knit Anti-Sweat Sheet,"Horse Wear > Blankets & Sheets > Coolers, Fleece & Covers",7011-NAT-BAP-80-1,Size: 80-Inch,,,,,Drop Ship,71.40,71.40,71.40,128.95,0,0,,,
-1,,,840539061352,,,5/A Baker Irish Knit Anti-Sweat Sheet,"Horse Wear > Blankets & Sheets > Coolers, Fleece & Covers",7011-NAT-BAP-76-1,Size: 76-Inch,,,,,Drop Ship,71.40,71.40,71.40,128.95,0,0,,,
-2,,,840539061406,,,5/A Baker Irish Knit Anti-Sweat Sheet,"Horse Wear > Blankets & Sheets > Coolers, Fleece & Covers",7011-NAT-BAP-86-1,Size: 86-Inch,,,,,Drop Ship,71.40,71.40,71.40,128.95,0,0,0.018867925,,
-7,,,840539061383,,,5/A Baker Irish Knit Anti-Sweat Sheet,"Horse Wear > Blankets & Sheets > Coolers, Fleece & Covers",7011-NAT-BAP-82-1,Size: 82-Inch,,,,,Drop Ship,71.40,71.40,71.40,128.95,0,0,,,
-1,,,691037929321,,,EnviroEquine EveryDayBalance,Horse Care > Supplements > Vitamins & Minerals,EEEDBE25LBB,Size: 25 Pounds,,,,,Drop Ship,203.00,203.00,203.00,310.00,0,0,,,
-1,,,810006840445,,,DAC Digestive Feed Additive,Horse Care > Supplements > Vitamins & Minerals,DDA40,Size: 40 Pounds,,,,,Drop Ship,150.38,150.38,150.38,181.45,0,0,,,
-1,,,00892277184787,,,EquiFit Essential Schooling Girth Replacement Liners,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,32959-52,Size: 52-Inch,Style: SheepsWool,,,,Drop Ship,37.42,37.42,37.42,48.00,0,0,,,
-2,,,,,,Elemental Equine Sole Salvation,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,ELEMEQ-SOL SAL-8,Size: 8 Ounces,,,,,Drop Ship,34.00,34.00,34.00,45.95,0,0,0.012048192,,
-1,,,,,,Elemental Equine Skin Salvation,Horse Care > First Aid & Wellness > Wound Care & Topicals,ELEMEQ-SKIN SAL-4,Size: 4 Ounces,,,,,Drop Ship,18.00,18.00,18.00,25.95,0,0,0.012048192,,
-1,,,,,,Elemental Equine Skin Salvation Spray,Horse Care > First Aid & Wellness > Wound Care & Topicals,ELEMEQ-SKIN SAL SPRY-64 RF,Size: 64 Ounce Refill,,,,,Drop Ship,48.00,48.00,48.00,69.95,0,0,,,
-1,,,,,,Elemental Equine Glycerin Saddle Soap,Tack & Equipment > Leather Care,ELEMEQ-GLY SOAP-8,Size: 8 Ounces,,,,,Drop Ship,10.00,10.00,10.00,16.95,0,0,,,
-2,,,,,,Elemental Equine Skin Salvation Spray,Horse Care > First Aid & Wellness > Wound Care & Topicals,ELEMEQ-SKIN SAL SPRY-16,Size: 16 Ounces,,,,,Drop Ship,15.00,15.00,15.00,21.95,0,0,0.022988506,,
-1,,,5391504347414,,,TRM Good As Gold Paste,Horse Care > Supplements > Calming & Focus,323468-3 QTY X35,Size: 1.23 Ounces (3 Syringes),,,,,Drop Ship,18.80,18.80,18.80,26.99,0,0,,,
-4,,,,,,Elemental Equine Hoof Armour,Horse Care > Grooming & Bathing > Hoof Oils & Conditioner,ELEMEQ-HOOF OIL-16,Size: 16 Ounces,,,,,Drop Ship,24.00,24.00,24.00,32.95,0,0,0.028169014,,
-2,,,,,,EnviroEquine Ulcer+,Horse Care > Supplements > Digestive & Gut Health,ULPA,Size: 1 Gallon,,,,,Drop Ship,81.25,81.25,81.25,155.00,0,0,,,
-2,,,,,,EnviroEquine Omega Balance,Horse Care > Supplements > Skin & Coat,EEOMBA01GAL,Size: 1 Gallon,,,,,Drop Ship,58.47,58.47,58.47,89.95,0,0,,,
-1,,,,,,Royal Wire 3-Tier Grooming Cart,Stable > Stable Organizers > Racks & Hooks,WHL-3GC-001,Title: Default Title,,,,,Drop Ship,230.00,230.00,230.00,360.00,0,0,,,
-2,,,,,,Royal Wire 3-Tier Bridle Rack,Stable > Stable Organizers > Racks & Hooks,BRD-3BR-001,Title: Default Title,,,,,Drop Ship,181.00,181.00,181.00,300.00,0,0,,,
-1,,,,,,Royal Wire Main Frame with 3 Saddle Racks & Saddle Pad Bar,Stable > Stable Organizers > Racks & Hooks,MFR-SPH-001,"Style: 3 Racks, 1 Saddle Pad Holder, 2 Hooks",,,,,Drop Ship,233.00,233.00,233.00,380.00,0,0,,,
-1,,,,,,Royal Wire Collapsible Hanging Shelf,Stable > Stable Organizers > Racks & Hooks,WFM-CHS-001,Title: Default Title,,,,,Drop Ship,103.00,103.00,103.00,165.00,0,0,,,
-3,,,,,,Dandy Products Liverpool,Stable > Stable Supplies > Misc,DANDY-LIVERPOOL-2X9X2,Size: 2 Feet x 9 Feet x 2 Inches,,,,,Drop Ship,125.00,125.00,125.00,250.00,0,0,0.023529412,,
-6,,,,,,Dandy Products Foam Rail,Stable > Stable Supplies > Misc,DANDY-FOAM-RAIL-4X4.5-SQUARE,Size: 4 Inches (D) x 4.5 Feet,Color: White,Style: Square Rail,,,Drop Ship,45.00,45.00,45.00,75.00,0,0,,,
-2,,,,,,Dandy Products Coco Mat,Stable > Stable Supplies > Misc,DANDY-COCO-MAT-4X6,Size: 4 Feet x 6 Feet,,,,,Drop Ship,198.00,198.00,198.00,287.00,0,0,0.011764706,,
-3,,,,,,Dandy Products Liverpool,Stable > Stable Supplies > Misc,DANDY-LIVERPOOL-10X4X2,Size: 10 Feet x 4 Feet x 2 Inches,,,,,Drop Ship,200.00,200.00,200.00,400.00,0,0,,,
-11,,,,,,Dandy Products Foam Rail,Stable > Stable Supplies > Misc,DANDY-FOAM-RAIL-4X9-SQUARE,Size: 4 Inches (D) x 9 Feet,Color: White,Style: Square Rail,,,Drop Ship,65.00,65.00,65.00,90.00,0,0,0.084337346,,
