quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
5,ROW 3 : LVL 2,1774281147458,859755002018,Supplements 2,2,Auburn Laboratories Advanced Protection Formula Pro Muscle & Gastric Support Liquid Supplement,Horse Care > Supplements > Weight Gain & Muscle,APF-E02,Size: 12 Ounces,,,,,Wellington Warehouse,130.38,130.38,130.38,165.99,0,0,,,
2,ROW 3 : LVL 3,1774281614628,040102223302,Grooming/Tack Cleaner,3,Andis AGC Super 2-Speed Clipper with T-84 Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",23330,Title: Default Title,,,,,Wellington Warehouse,144.31,144.31,144.31,209.99,0,0,,,
0,BIN-02,1767626770401,7340041115701,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800202,Size: Medium,Color: White,,,,Wellington Warehouse,37.50,37.50,37.50,75.00,0,0,,,
0,ROW 5 : LVL 4,1769190184154,728028238556,Fly sprays,4,Ecovet All-Natural Fly Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,011-23855,Size: 18 Ounces,,,,,Wellington Warehouse,21.56,21.56,21.56,30.99,0,0,0.022727273,,
3,ROW 4 : LVL 1,1774281545041,899046000743,Grooming,1,eZall All-Natural Spot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",69-4072,Size: 32 Ounces,,,,,Wellington Warehouse,11.20,11.20,11.20,19.99,0,0,,,
0,ROW 3 : LVL 2,1774281545037,823313023500,Grooming,2,Lucky Braids All-in-One Horse Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",2350,Size: 1 Gallon,,,,,Wellington Warehouse,49.50,49.50,49.50,89.95,0,0,,,
0,BIN-02,1767626770401,7340041115671,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800003,Size: Large,Color: Black,,,,Wellington Warehouse,37.50,37.50,37.50,75.00,0,0,,,
4,BIN-02,1767626770401,7340041115718,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800203,Size: Large,Color: White,,,,Wellington Warehouse,37.50,37.50,37.50,75.00,0,0,,,
1,BIN-02,1767626770401,7340041115695,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800201,Size: Small,Color: White,,,,Wellington Warehouse,37.50,37.50,37.50,75.00,0,0,,,
1,ROW 5 : LVL 3,1769190184153,728028331875,Fly sprays,3,Ecovet All-Natural Fly Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,ECO-003,Size: 1 Gallon,,,,,Wellington Warehouse,118.24,118.24,118.24,165.90,0,0,,,
